D_box,flux_sensitivity,avg_ipr_mid,avg_xi_mid,rho_zero,avg_horizon_weight_mid,avg_xbar_mid,charge_stiffness,half_bandwidth,scenario,x0,L,r_h,Nx,Nphi,ax,Nalpha,nu
1.856734927632738,0.009279592961547527,0.09925864399061612,1.014944682862886,0.08753869973903551,0.0,3.4728354045675203,0.00031807089576242305,14.138742738126753,annulus,2.0,8.0,0.3,48,48,0.1,141,0.0
1.8896381442958476,0.01159550718825521,0.1244671341210469,0.9207102844435869,0.13489573263634394,0.0,3.540929475478808,0.0007279351421675761,9.354041868551327,annulus,2.0,10.0,0.3,48,48,0.1,141,0.0
1.896357084265323,0.013964329183042143,0.14783618932569384,0.8380578628683378,0.18884553420616074,0.0,3.6269087696723896,0.0013190155289365445,6.707839156472904,annulus,2.0,12.0,0.3,48,48,0.1,141,0.0
1.9060589541527055,0.016400060839164437,0.17051312805323515,0.7657834181714956,0.24863296124911607,0.0,3.7128629367448034,0.0020877184236365474,5.0839463789336925,annulus,2.0,14.0,0.3,48,48,0.1,141,0.0
1.9152261925284226,0.018864584828625935,0.18946464079486464,0.7042503726817644,0.31257594985916864,0.0,3.801722532432599,0.0030297745580330267,4.011633367468139,annulus,2.0,16.0,0.3,48,48,0.1,141,0.0
1.930420138191298,0.021310398466604995,0.20556088567782793,0.653235966719841,0.37890348059588785,0.0,3.887350646132138,0.00414071559491047,3.2638975121438776,annulus,2.0,18.0,0.3,48,48,0.1,141,0.0
1.9270282934319733,0.023683410474007755,0.2217414654515083,0.6046886835104083,0.4520329638294658,0.0,3.9676321470262286,0.005415754369638469,2.72006861464829,annulus,2.0,20.0,0.3,48,48,0.1,141,0.0
1.855046085911334,0.00916531027472829,0.09533065298488486,1.0290802339981162,0.08691484311786705,0.0,3.4667314252926573,0.0002832747140221362,14.172228189899329,annulus,2.0,8.0,0.6,48,48,0.1,141,0.0
1.8858617519664,0.011465064513299865,0.11838810731318139,0.9382308875508961,0.13431259215216307,0.0,3.528712019591929,0.0006595726324781755,9.374485928286552,annulus,2.0,10.0,0.6,48,48,0.1,141,0.0
1.8981794004404835,0.01381892763435912,0.14213864221831876,0.8541471863875172,0.1898214991712685,0.0,3.609724419676871,0.0012074243978526578,6.721351267192953,annulus,2.0,12.0,0.6,48,48,0.1,141,0.0
1.902350825396414,0.016240760594482234,0.16480160513821512,0.7776942911980608,0.2490915556022738,0.0,3.6946087276250537,0.0019235523406769958,5.093370270891236,annulus,2.0,14.0,0.6,48,48,0.1,141,0.0
1.9156385348031995,0.018690692290601708,0.18497746709380422,0.7125784935443747,0.3141895437711226,0.0,3.780537325708309,0.0028038346827073467,4.018463143301107,annulus,2.0,16.0,0.6,48,48,0.1,141,0.0
1.9308600457604315,0.021124800114650975,0.20219379764807524,0.6606367102073999,0.3827578316234729,0.0,3.8618430626678637,0.0038440185994156398,3.268989374218288,annulus,2.0,18.0,0.6,48,48,0.1,141,0.0
1.9260077568306075,0.023487655290491585,0.21776849785525776,0.6111084681615649,0.45455361365001107,0.0,3.945411625045981,0.005039615910984424,2.723946376948361,annulus,2.0,20.0,0.6,48,48,0.1,141,0.0
1.857773524026757,0.008905658001769377,0.08726357843407816,1.058826013031155,0.08536102241395911,0.0,3.4599144490297875,0.00021781713646682604,14.251341277922732,annulus,2.0,8.0,1.0,48,48,0.1,141,0.0
1.8780481581590098,0.011165843846266605,0.1068090078227426,0.9755478089187638,0.13375435823264653,0.0,3.5052080247575055,0.0005281204742722621,9.422816618849332,annulus,2.0,10.0,1.0,48,48,0.1,141,0.0
